gap_y,gap_height,time
0.7436391465307066,0.286261774759615,2
0.23446210927576666,0.26643013322889564,4
0.33847706011008183,0.2603392487125144,6
0.24965439111978532,0.25897531628764686,8
0.3587847532001564,0.28974019517079297,10
0.7267266471165541,0.26337022368006097,12
0.4130184718586631,0.2937245975812666,14
0.7635328486990438,0.2829154228727864,16
0.6503545444688299,0.20849264868747808,18
0.5371124996731924,0.24185942342749217,20
0.24173502620363158,0.225467756196462,22
0.7750995621856536,0.27339354826577933,24
0.6951112949483801,0.2627338621891105,26
0.23126729697225554,0.23840055239852664,28
0.7534867414956976,0.2336797695755565,30
0.7581005569557946,0.2782368950746117,32
0.5379678282128122,0.23430088831611295,34
0.6375851981282795,0.20356885066103256,36
0.28837868593843646,0.24427675445596014,38
0.5386288000057127,0.23581020508693123,40
